Title,Text,Author,Source,Label
Did Schumer and Pelosi Help Obama Hand $150 Billion to an ‘Enemy of the US’?,NaN,NaN,Snopes Aggregator,Unreliable
Does Elizabeth Warren Have a Piece of Racist Memorabilia on Her Kitchen Shelf?,NaN,NaN,Snopes Aggregator,Unreliable
Will Cayenne Pepper Stop Serious Bleeding?,NaN,NaN,Snopes Aggregator,Unreliable
Are These the Last Words of Billionaire Steve Gouves?,NaN,NaN,Snopes Aggregator,Unreliable
Did a Chinese Lunar Rover Find No Evidence of American Moon Landings?,NaN,NaN,Snopes Aggregator,Unreliable
Was Journalist Bre Payton’s Death ‘Beyond Strange’ Due to Her Reporting on the Mueller Probe?,NaN,NaN,Snopes Aggregator,Unreliable
Did a Man Performing the ‘Bird Box Challenge’ Get Jumped and Mugged?,NaN,NaN,Snopes Aggregator,Unreliable
Did Morgan Freeman Review 2018 in This Video?,NaN,NaN,Snopes Aggregator,Unreliable
Was President Trump’s Visit to Walter Reed Hospital Ignored by the Media?,NaN,NaN,Snopes Aggregator,Unreliable
Did Nancy Pelosi Offer a Border Wall in Exchange for a Full Gun Ban?,NaN,NaN,Snopes Aggregator,Unreliable
Did the Coast Guard Start Reselling Seized Cocaine Amid Government Shutdown?,NaN,NaN,Snopes Aggregator,Unreliable
Is ‘Baron Trump’s Marvelous Underground Journey’ a Real Book from the 1890s?,NaN,NaN,Snopes Aggregator,Unreliable
Did Clemson’s Quarterback Say Their White House Meal Was ‘The Best We Ever Had’?,NaN,NaN,Snopes Aggregator,Unreliable
Did President Obama Once Spend $65,NaN,NaN,Snopes Aggregator,Unreliable
Did Congress ‘Set Aside’ $50 Billion in 2006 for the Construction of Border Fencing?,NaN,NaN,Snopes Aggregator,Unreliable
Can Federal Government Workers Be Fired After 30 Days of Shutdown?,NaN,NaN,Snopes Aggregator,Unreliable
Did All Democrats Vote Against a 2.8 Percent Social Security COLA Increase?,NaN,NaN,Snopes Aggregator,Unreliable
‘Got Another Friend Request from You’ Facebook Warning,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford with Bill Clinton?,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford Partying?,NaN,NaN,Snopes Aggregator,Unreliable
Did Judge Martha Kavanaugh ‘Rule Against’ the Parents of Her Son’s Accuser,NaN,NaN,Snopes Aggregator,Unreliable
Did Beto O’Rourke Say Old People and Wounded Veterans Should Be ‘Thrown in the Trash’?,NaN,NaN,Snopes Aggregator,Unreliable
Loretta Lynn Death Hoax,NaN,NaN,Snopes Aggregator,Unreliable
Is Meth in Louisiana Contaminated with the Zika Virus?,NaN,NaN,Snopes Aggregator,Unreliable
Did CBS Report That ‘Elites Are Lining Up to Ingest the Blood of Children’?,NaN,NaN,Snopes Aggregator,Unreliable
Was Melania Trump the First First Lady to Visit a War Zone?,NaN,NaN,Snopes Aggregator,Unreliable
Does This Photograph Show Barack Obama Dressed as Satan?,NaN,NaN,Snopes Aggregator,Unreliable
Did Pat Robertson Say Global Warming Won’t Affect America Because God Is Protecting Trump?,NaN,NaN,Snopes Aggregator,Unreliable
Did  Justin Trudeau Pose with a Burning Canadian Flag?,NaN,NaN,Snopes Aggregator,Unreliable
Is New Jersey Conducting Door-to-Door Gun Confiscations?,NaN,NaN,Snopes Aggregator,Unreliable
Is the Baya Weaver Bird the Only Animal That Dies When Its Companion Dies?,NaN,NaN,Snopes Aggregator,Unreliable
Did Michael Jordan Call LeBron James the Greatest Basketball Player of All Time?,NaN,NaN,Snopes Aggregator,Unreliable
Was a Man Hospitalized After His Apple Airpods Exploded in His Ear?,NaN,NaN,Snopes Aggregator,Unreliable
Is ‘Baron Trump’s Marvelous Underground Journey’ a Real Book from the 1890s?,NaN,NaN,Snopes Aggregator,Unreliable
Did Clemson’s Quarterback Say Their White House Meal Was ‘The Best We Ever Had’?,NaN,NaN,Snopes Aggregator,Unreliable
Did President Obama Once Spend $65,NaN,NaN,Snopes Aggregator,Unreliable
Did Congress ‘Set Aside’ $50 Billion in 2006 for the Construction of Border Fencing?,NaN,NaN,Snopes Aggregator,Unreliable
Can Federal Government Workers Be Fired After 30 Days of Shutdown?,NaN,NaN,Snopes Aggregator,Unreliable
Did All Democrats Vote Against a 2.8 Percent Social Security COLA Increase?,NaN,NaN,Snopes Aggregator,Unreliable
‘Got Another Friend Request from You’ Facebook Warning,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford with Bill Clinton?,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford Partying?,NaN,NaN,Snopes Aggregator,Unreliable
Did Judge Martha Kavanaugh ‘Rule Against’ the Parents of Her Son’s Accuser,NaN,NaN,Snopes Aggregator,Unreliable
Is Mike Pence Slated to Resign at the Request of President Trump?,NaN,NaN,Snopes Aggregator,Unreliable
Have Two McDonald’s-Containing Countries Ever Been at War with Each Other?,NaN,NaN,Snopes Aggregator,Unreliable
Did Three ‘Muslim Congresswomen’ Refuse to Uphold the Constitution?,NaN,NaN,Snopes Aggregator,Unreliable
Is California Considering a Tax on Breathing?,NaN,NaN,Snopes Aggregator,Unreliable
Did Justin Trudeau Transfer Canadian Border Control to the United Nations?,NaN,NaN,Snopes Aggregator,Unreliable
Is Tooka Pizinistee the First Woman to Lead a Muslamic Congregation in the USA?,NaN,NaN,Snopes Aggregator,Unreliable
Was Kelly Clarkson Fired from ‘The Voice’?,NaN,NaN,Snopes Aggregator,Unreliable
Did a Traffic Stop Uncover a Bag of Human Penises?,NaN,NaN,Snopes Aggregator,Unreliable
Did 17 Women Discover They’re All Pregnant by the Same Man?,NaN,NaN,Snopes Aggregator,Unreliable
Did Four AI Robots Kill 29 Scientists in Japan?,NaN,NaN,Snopes Aggregator,Unreliable
Did Penny Marshall Donate Her Estate to Trump’s 2020 Election Campaign?,NaN,NaN,Snopes Aggregator,Unreliable
Are BANG Energy Drinks Flammable?,NaN,NaN,Snopes Aggregator,Unreliable
Is ‘Baron Trump’s Marvelous Underground Journey’ a Real Book from the 1890s?,NaN,NaN,Snopes Aggregator,Unreliable
Did Clemson’s Quarterback Say Their White House Meal Was ‘The Best We Ever Had’?,NaN,NaN,Snopes Aggregator,Unreliable
Did President Obama Once Spend $65,NaN,NaN,Snopes Aggregator,Unreliable
Did Congress ‘Set Aside’ $50 Billion in 2006 for the Construction of Border Fencing?,NaN,NaN,Snopes Aggregator,Unreliable
Can Federal Government Workers Be Fired After 30 Days of Shutdown?,NaN,NaN,Snopes Aggregator,Unreliable
Did All Democrats Vote Against a 2.8 Percent Social Security COLA Increase?,NaN,NaN,Snopes Aggregator,Unreliable
‘Got Another Friend Request from You’ Facebook Warning,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford with Bill Clinton?,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford Partying?,NaN,NaN,Snopes Aggregator,Unreliable
Did Judge Martha Kavanaugh ‘Rule Against’ the Parents of Her Son’s Accuser,NaN,NaN,Snopes Aggregator,Unreliable
Was the Celebration of Christmas Illegal in the U.S. Until 1836?,NaN,NaN,Snopes Aggregator,Unreliable
Did President Trump Ban ‘Feliz Navidad’ from the White House?,NaN,NaN,Snopes Aggregator,Unreliable
Did the DOJ Admit the Flu Shot Is the “Most Dangerous” Vaccine in America?,NaN,NaN,Snopes Aggregator,Unreliable
Was Colin Kaepernick Arrested in Massive $200K Drug Bust?,NaN,NaN,Snopes Aggregator,Unreliable
Is This ‘Quintuple Skull’ Real?,NaN,NaN,Snopes Aggregator,Unreliable
Did TBS Remove the Shower Scene in ‘Elf’?,NaN,NaN,Snopes Aggregator,Unreliable
Was Waylon Jennings Banned from Country Radio?,NaN,NaN,Snopes Aggregator,Unreliable
Is Lululemon Recruiting 150 Ambassadors via Instagram?,NaN,NaN,Snopes Aggregator,Unreliable
Were Two Men Found Living Under the Calico Mine Ride at Knott’s Berry Farm?,NaN,NaN,Snopes Aggregator,Unreliable
Did Sweden Rename ‘Christmas’ to ‘Winter Celebration’ in Order to Avoid Offending Muslims?,NaN,NaN,Snopes Aggregator,Unreliable
Did Theresa May Cancel the Next General Election Because She Doesn’t Think She’ll Win?,NaN,NaN,Snopes Aggregator,Unreliable
Did Miley Cyrus Tell Fans to Worship Satan If They Want to Be Rich and Famous?,NaN,NaN,Snopes Aggregator,Unreliable
Is ‘Baron Trump’s Marvelous Underground Journey’ a Real Book from the 1890s?,NaN,NaN,Snopes Aggregator,Unreliable
Did Clemson’s Quarterback Say Their White House Meal Was ‘The Best We Ever Had’?,NaN,NaN,Snopes Aggregator,Unreliable
Did President Obama Once Spend $65,NaN,NaN,Snopes Aggregator,Unreliable
Did Congress ‘Set Aside’ $50 Billion in 2006 for the Construction of Border Fencing?,NaN,NaN,Snopes Aggregator,Unreliable
Can Federal Government Workers Be Fired After 30 Days of Shutdown?,NaN,NaN,Snopes Aggregator,Unreliable
Did All Democrats Vote Against a 2.8 Percent Social Security COLA Increase?,NaN,NaN,Snopes Aggregator,Unreliable
‘Got Another Friend Request from You’ Facebook Warning,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford with Bill Clinton?,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford Partying?,NaN,NaN,Snopes Aggregator,Unreliable
Did Judge Martha Kavanaugh ‘Rule Against’ the Parents of Her Son’s Accuser,NaN,NaN,Snopes Aggregator,Unreliable
Did JFK Say ‘There’s a Plot in This Country to Enslave Every Man,NaN,NaN,Snopes Aggregator,Unreliable
Did Illinois Lawmakers Propose a ‘Departing Taxpayer Fee’?,NaN,NaN,Snopes Aggregator,Unreliable
Did Trump Instruct Acting Secretary of State to Nullify Oaths Taken on Qurans?,NaN,NaN,Snopes Aggregator,Unreliable
Was a Scientist Jailed After Discovering a Deadly Virus Delivered Through Vaccines?,NaN,NaN,Snopes Aggregator,Unreliable
Did a Teacher High on Meth Strip Naked in Class and Bite Two Students?,NaN,NaN,Snopes Aggregator,Unreliable
Did Kid Rock and Ted Nugent Raise More Than $10 Million to Fight the War on Christmas?,NaN,NaN,Snopes Aggregator,Unreliable
Did a Man Sue Dyson After Being Partially Emasculated by a Vacuum Cleaner?,NaN,NaN,Snopes Aggregator,Unreliable
Were Two Altar Boys Arrested for Putting Marijuana in a Cathedral’s Censer?,NaN,NaN,Snopes Aggregator,Unreliable
Did the Bush,NaN,NaN,Snopes Aggregator,Unreliable
Did a Texas Man Confess to Kidnapping 79 People While Disguised as an Alien?,NaN,NaN,Snopes Aggregator,Unreliable
Did a Rape Victim Strip the Skin Off Her Attacker’s Genitals with a Potato Peeler?,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Prescription Written for Elvis One Day Before He Died?,NaN,NaN,Snopes Aggregator,Unreliable
Is ‘Baron Trump’s Marvelous Underground Journey’ a Real Book from the 1890s?,NaN,NaN,Snopes Aggregator,Unreliable
Did Clemson’s Quarterback Say Their White House Meal Was ‘The Best We Ever Had’?,NaN,NaN,Snopes Aggregator,Unreliable
Did President Obama Once Spend $65,NaN,NaN,Snopes Aggregator,Unreliable
Did Congress ‘Set Aside’ $50 Billion in 2006 for the Construction of Border Fencing?,NaN,NaN,Snopes Aggregator,Unreliable
Can Federal Government Workers Be Fired After 30 Days of Shutdown?,NaN,NaN,Snopes Aggregator,Unreliable
Did All Democrats Vote Against a 2.8 Percent Social Security COLA Increase?,NaN,NaN,Snopes Aggregator,Unreliable
‘Got Another Friend Request from You’ Facebook Warning,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford with Bill Clinton?,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford Partying?,NaN,NaN,Snopes Aggregator,Unreliable
Did Judge Martha Kavanaugh ‘Rule Against’ the Parents of Her Son’s Accuser,NaN,NaN,Snopes Aggregator,Unreliable
Did Walt Disney’s Will Require His Company’s Movies to Be Remade Every 10 Years?,NaN,NaN,Snopes Aggregator,Unreliable
Did George H.W. Bush Say He Would Be ‘Lynched’ If Americans Knew the Truth?,NaN,NaN,Snopes Aggregator,Unreliable
Was It Illegal to Profit from Healthcare Prior to the HMO Act of 1973?,NaN,NaN,Snopes Aggregator,Unreliable
Does This Video Show Eminem’s Daughter Rapping?,NaN,NaN,Snopes Aggregator,Unreliable
Was Jasper Smith Caught Selling ‘Energy Drinks’ Laced with Meth?,NaN,NaN,Snopes Aggregator,Unreliable
Does This Video Show a Kinetic Water Sculpture in Japan?,NaN,NaN,Snopes Aggregator,Unreliable
Will Looking at This Image Reveal How Stressed You Are?,NaN,NaN,Snopes Aggregator,Unreliable
Did a Man Start Crashing His Car After Receiving a Woman’s Brain in a Transplant?,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of the ‘Organizer’ of the Immigrant Caravan?,NaN,NaN,Snopes Aggregator,Unreliable
Did a Biology Student Cross a Marijuana Plant with Strawberries?,NaN,NaN,Snopes Aggregator,Unreliable
Did Muslim Groups Keep Money Intended for Victims of the Pittsburgh Synagogue Shooting?,NaN,NaN,Snopes Aggregator,Unreliable
Did TBS Cancel Their ‘Christmas Story’ Marathon Due to Its Bullying Scene?,NaN,NaN,Snopes Aggregator,Unreliable
Is ‘Baron Trump’s Marvelous Underground Journey’ a Real Book from the 1890s?,NaN,NaN,Snopes Aggregator,Unreliable
Did Clemson’s Quarterback Say Their White House Meal Was ‘The Best We Ever Had’?,NaN,NaN,Snopes Aggregator,Unreliable
Did President Obama Once Spend $65,NaN,NaN,Snopes Aggregator,Unreliable
Did Congress ‘Set Aside’ $50 Billion in 2006 for the Construction of Border Fencing?,NaN,NaN,Snopes Aggregator,Unreliable
Can Federal Government Workers Be Fired After 30 Days of Shutdown?,NaN,NaN,Snopes Aggregator,Unreliable
Did All Democrats Vote Against a 2.8 Percent Social Security COLA Increase?,NaN,NaN,Snopes Aggregator,Unreliable
‘Got Another Friend Request from You’ Facebook Warning,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford with Bill Clinton?,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford Partying?,NaN,NaN,Snopes Aggregator,Unreliable
Did Judge Martha Kavanaugh ‘Rule Against’ the Parents of Her Son’s Accuser,NaN,NaN,Snopes Aggregator,Unreliable
Did a Man Die of E. Coli After Sex with His Girlfriend?,NaN,NaN,Snopes Aggregator,Unreliable
Did Sgt. Al Powell Stop a Terrorist Attack at Nakatomi Plaza?,NaN,NaN,Snopes Aggregator,Unreliable
Was the ‘Illegal Alien Mom with Kids’ Photograph Staged?,NaN,NaN,Snopes Aggregator,Unreliable
Will Simba Be a Vegan in the ‘Lion King’ Remake?,NaN,NaN,Snopes Aggregator,Unreliable
Did Astronaut Chris Hadfield Test the Effects of Marijuana in Space?,NaN,NaN,Snopes Aggregator,Unreliable
Will Pressing ‘Cancel’ Twice on an ATM Prevent Your PIN from Being Stolen?,NaN,NaN,Snopes Aggregator,Unreliable
Does This Video Show a Crazily Busy Intersection?,NaN,NaN,Snopes Aggregator,Unreliable
Does This Picture Show the Blue Angels Performing ‘The Hand of God?’,NaN,NaN,Snopes Aggregator,Unreliable
Walmart Thanksgiving/Black Friday Coupon Scams,NaN,NaN,Snopes Aggregator,Unreliable
Was HHS Drug Pricing Czar Daniel Best’s Death Ruled a Suicide Despite Evidence of Foul Play?,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Selfie Jimi Hendrix Took with Jim Morrison and Bruce Lee?,NaN,NaN,Snopes Aggregator,Unreliable
Did U.S. Representative-Elect Ilhan Omar Say ‘White Men Should Be Put in Chains’?,NaN,NaN,Snopes Aggregator,Unreliable
Is ‘Baron Trump’s Marvelous Underground Journey’ a Real Book from the 1890s?,NaN,NaN,Snopes Aggregator,Unreliable
Did Clemson’s Quarterback Say Their White House Meal Was ‘The Best We Ever Had’?,NaN,NaN,Snopes Aggregator,Unreliable
Did President Obama Once Spend $65,NaN,NaN,Snopes Aggregator,Unreliable
Did Congress ‘Set Aside’ $50 Billion in 2006 for the Construction of Border Fencing?,NaN,NaN,Snopes Aggregator,Unreliable
Can Federal Government Workers Be Fired After 30 Days of Shutdown?,NaN,NaN,Snopes Aggregator,Unreliable
Did All Democrats Vote Against a 2.8 Percent Social Security COLA Increase?,NaN,NaN,Snopes Aggregator,Unreliable
‘Got Another Friend Request from You’ Facebook Warning,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford with Bill Clinton?,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford Partying?,NaN,NaN,Snopes Aggregator,Unreliable
Did Judge Martha Kavanaugh ‘Rule Against’ the Parents of Her Son’s Accuser,NaN,NaN,Snopes Aggregator,Unreliable
Is Rain That Falls in Smoky Areas After a Wildfire Likely to Be “Extremely Toxic”?,NaN,NaN,Snopes Aggregator,Unreliable
Were 53,NaN,NaN,Snopes Aggregator,Unreliable
Was Donald Trump the First President in 56 Years Not to Visit Arlington National Cemetery on Veterans Day?,NaN,NaN,Snopes Aggregator,Unreliable
Was the ‘Intern’ Who Took Acosta’s Microphone Actually the Deputy Press Secretary?,NaN,NaN,Snopes Aggregator,Unreliable
Do Recent Wildfires Match Up “Exactly” with California’s Proposed High Speed Railway?,NaN,NaN,Snopes Aggregator,Unreliable
Is Facebook Deleting an Image of a Cross Carved to Honor Fallen Firefighters?,NaN,NaN,Snopes Aggregator,Unreliable
Did Donald Trump Jr. Say ‘Let California Burn’ Because They Voted for Democrats?,NaN,NaN,Snopes Aggregator,Unreliable
Did ‘The Grinch’ Pistachio Ad Make a Crude Reference?,NaN,NaN,Snopes Aggregator,Unreliable
Did a 5G Cellular Network Test Cause Hundreds of Birds to Die?,NaN,NaN,Snopes Aggregator,Unreliable
Costco ’50th Anniversary’ $75 Coupon Scam,NaN,NaN,Snopes Aggregator,Unreliable
Were Ewok-Like Creatures Called ‘Chay Na Men’ Found Near a Cave in Thailand?,NaN,NaN,Snopes Aggregator,Unreliable
Were Democrats Allowed to Vote Twice in Maryland’s Midterm Election?,NaN,NaN,Snopes Aggregator,Unreliable
Is ‘Baron Trump’s Marvelous Underground Journey’ a Real Book from the 1890s?,NaN,NaN,Snopes Aggregator,Unreliable
Did Clemson’s Quarterback Say Their White House Meal Was ‘The Best We Ever Had’?,NaN,NaN,Snopes Aggregator,Unreliable
Did President Obama Once Spend $65,NaN,NaN,Snopes Aggregator,Unreliable
Did Congress ‘Set Aside’ $50 Billion in 2006 for the Construction of Border Fencing?,NaN,NaN,Snopes Aggregator,Unreliable
Can Federal Government Workers Be Fired After 30 Days of Shutdown?,NaN,NaN,Snopes Aggregator,Unreliable
Did All Democrats Vote Against a 2.8 Percent Social Security COLA Increase?,NaN,NaN,Snopes Aggregator,Unreliable
‘Got Another Friend Request from You’ Facebook Warning,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford with Bill Clinton?,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford Partying?,NaN,NaN,Snopes Aggregator,Unreliable
Did Judge Martha Kavanaugh ‘Rule Against’ the Parents of Her Son’s Accuser,NaN,NaN,Snopes Aggregator,Unreliable
Did Obama Have Journalist Brenda Lee Forcibly Removed from Air Force One?,NaN,NaN,Snopes Aggregator,Unreliable
Did Broward County Record More Votes Than Registered Voters in November 2018?,NaN,NaN,Snopes Aggregator,Unreliable
Did the Same ‘Crisis Actor’ Play the Mother and Victim in Three Different Mass Shootings?,NaN,NaN,Snopes Aggregator,Unreliable
Did 71 Percent of Trump’s Endorsements Lose in the 2018 Midterms?,NaN,NaN,Snopes Aggregator,Unreliable
Did Senate Candidate Kyrsten Sinema Vote to ‘Allow Abortions Up to Birth’?,NaN,NaN,Snopes Aggregator,Unreliable
Did George Soros Demand That Failed Democratic Candidates ‘Pay Him Back’?,NaN,NaN,Snopes Aggregator,Unreliable
Did Every Candidate Barack Obama Campaigned for in 2018 Lose?,NaN,NaN,Snopes Aggregator,Unreliable
Did the News Media Ignore a Black Conservative Event at the White House?,NaN,NaN,Snopes Aggregator,Unreliable
Was the Borderline Bar Shooter Identified as a Middle Eastern Man Named Abu Al-Hom Kreuzi?,NaN,NaN,Snopes Aggregator,Unreliable
Does This Photograph Show Barack Obama with Prince Al-Waleed bin Talal?,NaN,NaN,Snopes Aggregator,Unreliable
Was Cesar Sayoc a Lifelong Democrat Who “Recently” Covered His Van in Trump Stickers?,NaN,NaN,Snopes Aggregator,Unreliable
Did the Carnival Cruise Ship ‘Triumph’ Overturn and Sink?,NaN,NaN,Snopes Aggregator,Unreliable
Is ‘Baron Trump’s Marvelous Underground Journey’ a Real Book from the 1890s?,NaN,NaN,Snopes Aggregator,Unreliable
Did Clemson’s Quarterback Say Their White House Meal Was ‘The Best We Ever Had’?,NaN,NaN,Snopes Aggregator,Unreliable
Did President Obama Once Spend $65,NaN,NaN,Snopes Aggregator,Unreliable
Did Congress ‘Set Aside’ $50 Billion in 2006 for the Construction of Border Fencing?,NaN,NaN,Snopes Aggregator,Unreliable
Can Federal Government Workers Be Fired After 30 Days of Shutdown?,NaN,NaN,Snopes Aggregator,Unreliable
Did All Democrats Vote Against a 2.8 Percent Social Security COLA Increase?,NaN,NaN,Snopes Aggregator,Unreliable
‘Got Another Friend Request from You’ Facebook Warning,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford with Bill Clinton?,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford Partying?,NaN,NaN,Snopes Aggregator,Unreliable
Did Judge Martha Kavanaugh ‘Rule Against’ the Parents of Her Son’s Accuser,NaN,NaN,Snopes Aggregator,Unreliable
Did Elon Musk Offer to Buy and Delete Facebook?,NaN,NaN,Snopes Aggregator,Unreliable
Did the Stickers on the Pipe-Bombing Suspect’s Van Inexplicably Change After His Arrest?,NaN,NaN,Snopes Aggregator,Unreliable
Did a Starbucks Executive Say That ‘White Men Are the Root of All Evil’?,NaN,NaN,Snopes Aggregator,Unreliable
Is George Soros Funding U.N.-Distributed Debit Cards to Refugees?,NaN,NaN,Snopes Aggregator,Unreliable
Was Barack Obama the First Ex-President to ‘Publicly Speak Against’ His Successor?,NaN,NaN,Snopes Aggregator,Unreliable
Did CNN’s Don Lemon Celebrate ‘Blue Wave’ Flag Burners?,NaN,NaN,Snopes Aggregator,Unreliable
Does This Photograph Show Stacey Abrams Touting the Support of Communists and the Muslim Brotherhood?,NaN,NaN,Snopes Aggregator,Unreliable
Did Kurt Russell Say President Trump Was ‘Relentless,NaN,NaN,Snopes Aggregator,Unreliable
